UserName,Handle,Timestamp,Text,Label,Text_Lower,Text_Cleaning,Text_Token,Text_Token_Stop,Text_Token_Stop_Stem
YP,@yudistirop,23/07/2023 08:22,Harga BBM di tahun 1991 adalah Rp500 per liter,neutral,harga bbm di tahun 1991 adalah rp500 per liter,harga bbm di tahun adalah rp per liter,"['harga', 'bbm', 'di', 'tahun', 'adalah', 'rp', 'per', 'liter']","['harga', 'bbm', 'rp', 'liter']","['harga', 'bbm', 'rp', 'liter']"
Suyatno Wiyono,@SuyatnoWiyono,23/07/2023 07:49,"Sekelas ini masih bicara ketimpangan,sekarang ketimpangan dah mulai dikikis dengan pembanganan jln trans luar jawa,1 harga bbm tp msh aja kelas gini msh ngomong,preeeeeeet",negative,"sekelas ini masih bicara ketimpangan,sekarang ketimpangan dah mulai dikikis dengan pembanganan jln trans luar jawa,1 harga bbm tp msh aja kelas gini msh ngomong,preeeeeeet",sekelas ini masih bicara ketimpangan sekarang ketimpangan dah mulai dikikis dengan pembanganan jln trans luar jawa harga bbm tp msh aja kelas gini msh ngomong preeeeeeet,"['sekelas', 'ini', 'masih', 'bicara', 'ketimpangan', 'sekarang', 'ketimpangan', 'dah', 'mulai', 'dikikis', 'dengan', 'pembanganan', 'jln', 'trans', 'luar', 'jawa', 'harga', 'bbm', 'tp', 'msh', 'aja', 'kelas', 'gini', 'msh', 'ngomong', 'preeeeeeet']","['sekelas', 'bicara', 'ketimpangan', 'ketimpangan', 'dikikis', 'pembanganan', 'trans', 'jawa', 'harga', 'bbm', 'kelas', 'gini', 'ngomong', 'preeeeeeet']","['kelas', 'bicara', 'timpang', 'timpang', 'kikis', 'bangan', 'trans', 'jawa', 'harga', 'bbm', 'kelas', 'gin', 'ngomong', 'preeeeeeet']"
tofffffatofffa,@Gojeck7,23/07/2023 07:30,"Tapi waktu itu harga dolar 150/$

Harga BBM 100/liter

Beras 75-120k/jg

Sama juga bohoy ",neutral,"tapi waktu itu harga dolar 150/$

harga bbm 100/liter

beras 75-120k/jg

sama juga bohoy ",tapi waktu itu harga dolar harga bbm liter beras  jg sama juga bohoy,"['tapi', 'waktu', 'itu', 'harga', 'dolar', 'harga', 'bbm', 'liter', 'beras', 'jg', 'sama', 'juga', 'bohoy']","['harga', 'dolar', 'harga', 'bbm', 'liter', 'beras', 'bohoy']","['harga', 'dolar', 'harga', 'bbm', 'liter', 'beras', 'bohoy']"
Lukman Adham,@AdhamLukman,23/07/2023 07:26,"Kau blng Listrik mhl.. kau bangun tuh Power Plan, brp thn ngarep balik tuh uang kau.. pemimpin mana selama Indonesia merdeka bisa membuat 1 harga BBM dr sabang smpi meroke.. apa itu artinya, baca pancasila. BBM mhl. Siapa yg msh punya jtah import minyak. (Jwb Ju2r 
@Metro_TV
 )",negative,"kau blng listrik mhl.. kau bangun tuh power plan, brp thn ngarep balik tuh uang kau.. pemimpin mana selama indonesia merdeka bisa membuat 1 harga bbm dr sabang smpi meroke.. apa itu artinya, baca pancasila. bbm mhl. siapa yg msh punya jtah import minyak. (jwb ju2r 
@metro_tv
 )",kau blng listrik mhl kau bangun tuh power plan brp thn ngarep balik tuh uang kau pemimpin mana selama indonesia merdeka bisa membuat harga bbm dr sabang smpi meroke apa itu artinya baca pancasila bbm mhl siapa yg msh punya jtah import minyak jwb jur tv,"['kau', 'blng', 'listrik', 'mhl', 'kau', 'bangun', 'tuh', 'power', 'plan', 'brp', 'thn', 'ngarep', 'balik', 'tuh', 'uang', 'kau', 'pemimpin', 'mana', 'selama', 'indonesia', 'merdeka', 'bisa', 'membuat', 'harga', 'bbm', 'dr', 'sabang', 'smpi', 'meroke', 'apa', 'itu', 'artinya', 'baca', 'pancasila', 'bbm', 'mhl', 'siapa', 'yg', 'msh', 'punya', 'jtah', 'import', 'minyak', 'jwb', 'jur', 'tv']","['kau', 'blng', 'listrik', 'mhl', 'kau', 'bangun', 'power', 'plan', 'brp', 'thn', 'ngarep', 'uang', 'kau', 'pemimpin', 'indonesia', 'merdeka', 'harga', 'bbm', 'sabang', 'smpi', 'meroke', 'baca', 'pancasila', 'bbm', 'mhl', 'jtah', 'import', 'minyak', 'jwb', 'jur', 'tv']","['kau', 'blng', 'listrik', 'mhl', 'kau', 'bangun', 'power', 'plan', 'brp', 'thn', 'ngarep', 'uang', 'kau', 'pimpin', 'indonesia', 'merdeka', 'harga', 'bbm', 'sabang', 'smpi', 'meroke', 'baca', 'pancasila', 'bbm', 'mhl', 'jtah', 'import', 'minyak', 'jwb', 'jur', 'tv']"
ZAM,@ZAM05029527,23/07/2023 07:26,calon presiden kok gampang kaget...nanti gak jadi presiden kaget sakit jantung opname terus stroke...calon dari partai kebo kalau kampanye pasti pencitraan terus...giliran jadi harga sembako bbm melambung diam seribu bahasa....dancox dancox,negative,calon presiden kok gampang kaget...nanti gak jadi presiden kaget sakit jantung opname terus stroke...calon dari partai kebo kalau kampanye pasti pencitraan terus...giliran jadi harga sembako bbm melambung diam seribu bahasa....dancox dancox,calon presiden kok gampang kaget nanti gak jadi presiden kaget sakit jantung opname terus stroke calon dari partai kebo kalau kampanye pasti pencitraan terus giliran jadi harga sembako bbm melambung diam seribu bahasa dancox dancox,"['calon', 'presiden', 'kok', 'gampang', 'kaget', 'nanti', 'gak', 'jadi', 'presiden', 'kaget', 'sakit', 'jantung', 'opname', 'terus', 'stroke', 'calon', 'dari', 'partai', 'kebo', 'kalau', 'kampanye', 'pasti', 'pencitraan', 'terus', 'giliran', 'jadi', 'harga', 'sembako', 'bbm', 'melambung', 'diam', 'seribu', 'bahasa', 'dancox', 'dancox']","['calon', 'presiden', 'gampang', 'kaget', 'presiden', 'kaget', 'sakit', 'jantung', 'opname', 'stroke', 'calon', 'partai', 'kebo', 'kampanye', 'pencitraan', 'giliran', 'harga', 'sembako', 'bbm', 'melambung', 'diam', 'seribu', 'bahasa', 'dancox', 'dancox']","['calon', 'presiden', 'gampang', 'kaget', 'presiden', 'kaget', 'sakit', 'jantung', 'opname', 'stroke', 'calon', 'partai', 'kebo', 'kampanye', 'citra', 'gilir', 'harga', 'sembako', 'bbm', 'lambung', 'diam', 'ribu', 'bahasa', 'dancox', 'dancox']"
andrea fans,@andrea15_fans,23/07/2023 06:34,"IPO perusahaan migas akan memberikan manfaat ganda, yakni mendukung keberlanjutan operasional perusahaan serta mengurangi impor minyak mentah dan bahan bakar minyak, sehingga berkontribusi pada pemulihan ekonomi nasional dan ketahanan energi negara.

#IPO #PHE #PERTAMINA",positive,"ipo perusahaan migas akan memberikan manfaat ganda, yakni mendukung keberlanjutan operasional perusahaan serta mengurangi impor minyak mentah dan bahan bakar minyak, sehingga berkontribusi pada pemulihan ekonomi nasional dan ketahanan energi negara.

#ipo #phe #pertamina",ipo perusahaan migas akan memberikan manfaat ganda yakni mendukung keberlanjutan operasional perusahaan serta mengurangi impor minyak mentah dan bahan bakar minyak sehingga berkontribusi pada pemulihan ekonomi nasional dan ketahanan energi negara,"['ipo', 'perusahaan', 'migas', 'akan', 'memberikan', 'manfaat', 'ganda', 'yakni', 'mendukung', 'keberlanjutan', 'operasional', 'perusahaan', 'serta', 'mengurangi', 'impor', 'minyak', 'mentah', 'dan', 'bahan', 'bakar', 'minyak', 'sehingga', 'berkontribusi', 'pada', 'pemulihan', 'ekonomi', 'nasional', 'dan', 'ketahanan', 'energi', 'negara']","['ipo', 'perusahaan', 'migas', 'manfaat', 'ganda', 'mendukung', 'keberlanjutan', 'operasional', 'perusahaan', 'mengurangi', 'impor', 'minyak', 'mentah', 'bahan', 'bakar', 'minyak', 'berkontribusi', 'pemulihan', 'ekonomi', 'nasional', 'ketahanan', 'energi', 'negara']","['ipo', 'usaha', 'migas', 'manfaat', 'ganda', 'dukung', 'lanjut', 'operasional', 'usaha', 'kurang', 'impor', 'minyak', 'mentah', 'bahan', 'bakar', 'minyak', 'kontribusi', 'pulih', 'ekonomi', 'nasional', 'tahan', 'energi', 'negara']"
RollyManan,@zukri42751981,23/07/2023 06:29,"Bego, BBM ikut harga pasar dunia Lo mau demo siapa tolol",negative,"bego, bbm ikut harga pasar dunia lo mau demo siapa tolol",bego bbm ikut harga pasar dunia lo mau demo siapa tolol,"['bego', 'bbm', 'ikut', 'harga', 'pasar', 'dunia', 'lo', 'mau', 'demo', 'siapa', 'tolol']","['bego', 'bbm', 'harga', 'pasar', 'dunia', 'demo', 'tolol']","['bego', 'bbm', 'harga', 'pasar', 'dunia', 'demo', 'tolol']"
ANU aja,@anu318725175311,23/07/2023 06:05,"Ya sekarang liat aja, 
Yg yg baik dari rezim ini?

1)hutang negara menggunung
2)janji 10jt lapangan kerja, modus
3)PHK karyawan di'mana²
4)harga kebutuhan pokok BBM listrik naik

Cb sebutkan, apa yg baik dari rezim jkw? 
Yg hidup di negara ini bukan cm lu doang, 
Pikirin yg lain",negative,"ya sekarang liat aja, 
yg yg baik dari rezim ini?

1)hutang negara menggunung
2)janji 10jt lapangan kerja, modus
3)phk karyawan di'mana²
4)harga kebutuhan pokok bbm listrik naik

cb sebutkan, apa yg baik dari rezim jkw? 
yg hidup di negara ini bukan cm lu doang, 
pikirin yg lain",ya sekarang liat aja yg yg baik dari rezim ini hutang negara menggunung janji jt lapangan kerja modus phk karyawan di mana harga kebutuhan pokok bbm listrik naik cb sebutkan apa yg baik dari rezim jkw yg hidup di negara ini bukan cm lu doang pikirin yg lain,"['ya', 'sekarang', 'liat', 'aja', 'yg', 'yg', 'baik', 'dari', 'rezim', 'ini', 'hutang', 'negara', 'menggunung', 'janji', 'jt', 'lapangan', 'kerja', 'modus', 'phk', 'karyawan', 'di', 'mana', 'harga', 'kebutuhan', 'pokok', 'bbm', 'listrik', 'naik', 'cb', 'sebutkan', 'apa', 'yg', 'baik', 'dari', 'rezim', 'jkw', 'yg', 'hidup', 'di', 'negara', 'ini', 'bukan', 'cm', 'lu', 'doang', 'pikirin', 'yg', 'lain']","['liat', 'rezim', 'hutang', 'negara', 'menggunung', 'janji', 'jt', 'lapangan', 'modus', 'phk', 'karyawan', 'harga', 'kebutuhan', 'pokok', 'bbm', 'listrik', 'cb', 'sebutkan', 'rezim', 'jkw', 'hidup', 'negara', 'doang', 'pikirin']","['liat', 'rezim', 'hutang', 'negara', 'gunung', 'janji', 'jt', 'lapang', 'modus', 'phk', 'karyawan', 'harga', 'butuh', 'pokok', 'bbm', 'listrik', 'cb', 'sebut', 'rezim', 'jkw', 'hidup', 'negara', 'doang', 'pikirin']"
hibangtan,@Mega41959177,23/07/2023 06:01,Prestasinya  ngibulin rakyat selama 9 th yang janjinya sembako murah malah mahal yang janjinya tidak menaikan BBM malah pindah harga,negative,prestasinya  ngibulin rakyat selama 9 th yang janjinya sembako murah malah mahal yang janjinya tidak menaikan bbm malah pindah harga,prestasinya ngibulin rakyat selama th yang janjinya sembako murah malah mahal yang janjinya tidak menaikan bbm malah pindah harga,"['prestasinya', 'ngibulin', 'rakyat', 'selama', 'th', 'yang', 'janjinya', 'sembako', 'murah', 'malah', 'mahal', 'yang', 'janjinya', 'tidak', 'menaikan', 'bbm', 'malah', 'pindah', 'harga']","['prestasinya', 'ngibulin', 'rakyat', 'janjinya', 'sembako', 'murah', 'mahal', 'janjinya', 'menaikan', 'bbm', 'pindah', 'harga']","['prestasi', 'ngibulin', 'rakyat', 'janji', 'sembako', 'murah', 'mahal', 'janji', 'naik', 'bbm', 'pindah', 'harga']"
Alfian,@Yudi130272,23/07/2023 05:20,"Saya juga melek politik semenjak harga BBM meroket, kedepannya jangan sampai salah pilih lagi.",negative,"saya juga melek politik semenjak harga bbm meroket, kedepannya jangan sampai salah pilih lagi.",saya juga melek politik semenjak harga bbm meroket kedepannya jangan sampai salah pilih lagi,"['saya', 'juga', 'melek', 'politik', 'semenjak', 'harga', 'bbm', 'meroket', 'kedepannya', 'jangan', 'sampai', 'salah', 'pilih', 'lagi']","['melek', 'politik', 'semenjak', 'harga', 'bbm', 'meroket', 'kedepannya', 'salah', 'pilih']","['melek', 'politik', 'semenjak', 'harga', 'bbm', 'roket', 'depan', 'salah', 'pilih']"
Intifada!,@syhdwesaprawasa,23/07/2023 01:32,Sekarang lihat bagaimana reply homofobik yang ada di thread ini. Selamat kepada matt healy yang menyiramkan bahan bakar minyak pada masyarakat bigot kami ,neutral,sekarang lihat bagaimana reply homofobik yang ada di thread ini. selamat kepada matt healy yang menyiramkan bahan bakar minyak pada masyarakat bigot kami ,sekarang lihat bagaimana reply homofobik yang ada di thread ini selamat kepada matt healy yang menyiramkan bahan bakar minyak pada masyarakat bigot kami,"['sekarang', 'lihat', 'bagaimana', 'reply', 'homofobik', 'yang', 'ada', 'di', 'thread', 'ini', 'selamat', 'kepada', 'matt', 'healy', 'yang', 'menyiramkan', 'bahan', 'bakar', 'minyak', 'pada', 'masyarakat', 'bigot', 'kami']","['homofobik', 'selamat', 'matt', 'healy', 'menyiramkan', 'bahan', 'bakar', 'minyak', 'masyarakat', 'bigot']","['homofobik', 'selamat', 'matt', 'healy', 'siram', 'bahan', 'bakar', 'minyak', 'masyarakat', 'bigot']"
Micha,@Simp4Danheng,23/07/2023 01:26,"terima kasih ya Allah, telah membiarkan fosil dinosaurus terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya Joshua ke rumah sakit untuk menghadirkan seorang HONG JISOO di bumi ini.",neutral,"terima kasih ya allah, telah membiarkan fosil dinosaurus terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya joshua ke rumah sakit untuk menghadirkan seorang hong jisoo di bumi ini.",terima kasih ya allah telah membiarkan fosil dinosaurus terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya joshua ke rumah sakit untuk menghadirkan seorang hong jisoo di bumi ini,"['terima', 'kasih', 'ya', 'allah', 'telah', 'membiarkan', 'fosil', 'dinosaurus', 'terdegradasi', 'dan', 'menjadi', 'minyak', 'bumi', 'yang', 'digunakan', 'untuk', 'bahan', 'bakar', 'mobil', 'yang', 'membawa', 'mamanya', 'joshua', 'ke', 'rumah', 'sakit', 'untuk', 'menghadirkan', 'seorang', 'hong', 'jisoo', 'di', 'bumi', 'ini']","['terima', 'kasih', 'allah', 'membiarkan', 'fosil', 'dinosaurus', 'terdegradasi', 'minyak', 'bumi', 'bahan', 'bakar', 'mobil', 'membawa', 'mamanya', 'joshua', 'rumah', 'sakit', 'menghadirkan', 'hong', 'jisoo', 'bumi']","['terima', 'kasih', 'allah', 'biar', 'fosil', 'dinosaurus', 'degradasi', 'minyak', 'bumi', 'bahan', 'bakar', 'mobil', 'bawa', 'mama', 'joshua', 'rumah', 'sakit', 'hadir', 'hong', 'jisoo', 'bumi']"
